"species","lon","lat"
"Scinax ruber",-70.301309,-4.273055
"Scinax ruber",-54.377799,4.285374
"Scinax ruber",-54.9883,4.989499
"Scinax ruber",-58.996582,-3.22517
"Scinax ruber",-61.295596,10.380915
"Scinax ruber",-58.86982,7.607628
"Scinax ruber",-75.701506,5.805114
"Scinax ruber",-75.314936,6.788344
"Scinax ruber",-75.866667,1.566667
"Scinax ruber",-69.28442,-12.425014
"Scinax ruber",-61.415472,2.436889
"Scinax ruber",-73.65062,-4.89923
"Scinax ruber",-73.76537,-5.88903
"Scinax ruber",-74.54586,5.76401
"Scinax ruber",-66.784187,-14.124506
"Scinax ruber",-76.398254,-0.673996
"Scinax ruber",-73.476618,6.780435
"Scinax ruber",-75.084219,8.555725
"Scinax ruber",-77.602229,-0.674871
"Scinax ruber",-71.421246,6.769804
"Scinax ruber",-66.170082,-11.133716
"Scinax ruber",-75.122949,9.829714
"Scinax ruber",-75.12363,10.68386
"Scinax ruber",-74.95822,10.72845
"Scinax ruber",-74.90325,10.77303
"Scinax ruber",-74.86715,10.83202
"Scinax ruber",-75.31348,10.54355
"Scinax ruber",-64.790694,-3.118306
"Scinax ruber",-64.981932,-14.865659
"Scinax ruber",-73.3543,4.5213
"Scinax ruber",-64.867278,-3.034
"Scinax ruber",-61.662219,-8.503922
"Scinax ruber",-65.928547,-10.988157
"Scinax ruber",-61.460897,-3.700206
"Scinax ruber",-61.68466,-8.452167
"Scinax ruber",-60.833865,-3.618416
"Scinax ruber",-75.666025,1.619328
"Scinax ruber",-76.809128,-0.661867
"Scinax ruber",-58.798442,3.885834
"Scinax ruber",-58.949814,4.239105
"Scinax ruber",-58.93018,4.860416
"Scinax ruber",-73.181533,-3.514564
"Scinax ruber",-79.2053,9.2928
"Scinax ruber",-73.517933,-4.705775
"Scinax ruber",-65.96965,-10.816364
"Scinax ruber",-66.053848,-10.985823
"Scinax ruber",-70.561036,-3.759381
"Scinax ruber",-70.581573,-3.660086
"Scinax ruber",-70.44293,-3.71995
"Scinax ruber",-73.514361,7.071583
"Scinax ruber",-69.853611,6.391667
"Scinax ruber",-73.406861,7.038528
"Scinax ruber",-73.413361,6.992667
"Scinax ruber",-69.76672,6.45208
"Scinax ruber",-74.793611,5.3675
"Scinax ruber",-68.473861,5.743333
"Scinax ruber",-72.695162,-3.355092
"Scinax ruber",-76.027107,1.353252
"Scinax ruber",-55.618035,3.84265
"Scinax ruber",-55.068633,5.135741
"Scinax ruber",-73.75321,2.25648
"Scinax ruber",-64.618056,-3.421944
"Scinax ruber",-75.113317,6.035624
"Scinax ruber",-75.098178,5.995328
"Scinax ruber",-66.117778,0.626944
"Scinax ruber",-65.978711,-11.025402
"Scinax ruber",-74.673128,9.07918
"Scinax ruber",-71.564669,6.007964
"Scinax ruber",-71.487325,5.934158
"Scinax ruber",-73.0517,4.21877
"Scinax ruber",-73.779889,9.285056
"Scinax ruber",-71.776833,6.281806
"Scinax ruber",-71.600275,6.2006
"Scinax ruber",-71.875481,5.576456
"Scinax ruber",-71.85435,5.517425
"Scinax ruber",-71.898078,5.528972
"Scinax ruber",-73.12992,4.12358
"Scinax ruber",-73.22073,4.20468
"Scinax ruber",-73.15576,4.1565
"Scinax ruber",-73.18347,3.52003
"Scinax ruber",-73.3835,3.79224
"Scinax ruber",-73.17633,3.4388
"Scinax ruber",-73.391861,4.433944
"Scinax ruber",-71.564222,6.224825
"Scinax ruber",-73.25533,4.1621
"Scinax ruber",-74.367694,7.115639
"Scinax ruber",-74.89533,4.9005
"Scinax ruber",-74.96136,4.03736
"Scinax ruber",-70.752778,5.156389
"Scinax ruber",-75.6,1.616667
"Scinax ruber",-76.380664,-7.064779
"Scinax ruber",-75.013694,10.034667
